_id,algoname,clientID,symbol,realised,unrealised,sum,balance
655d7ccf0bc4ecf4b936e50a,ExpWStdBHLN,B1700057,NIFTY23NOV2319800CE,0,3145,3145,5000000
655d7ccf0bc4ecf4b936e50b,ExpWStdBHLN,D9550002,NIFTY23NOV2319800CE,0,3147.5,3147.5,2400000
655d7ccf0bc4ecf4b936e50c,ExpWStdBHLN,D8460002,NIFTY23NOV2319800CE,0,6294,6294,2700000
655d7df80bc4ecf4b936e50d,MTR_2C,B1700057,BANKNIFTY30NOV2343500PE,-4522.5,0,-4522.5,5000000
655d7df80bc4ecf4b936e50e,MTR_2C,D9550016,BANKNIFTY30NOV2343500PE,-2265,0,-2265,1600000
655d7ee60bc4ecf4b936e50f,Exp3StatBN,B1700057,BANKNIFTY22NOV2343600PE,-2026.5,0,-2026.5,5000000
655d7ee60bc4ecf4b936e510,Exp3StatBN,B1700057,BANKNIFTY22NOV2342800PE,64.5,0,64.5,5000000
655d7f1e0bc4ecf4b936e511,ExpWStdBHLN,B1700057,NIFTY23NOV2319200PE,-40,0,-40,5000000
655d7f1e0bc4ecf4b936e512,ExpWStdBHLN,D9550002,NIFTY23NOV2319200PE,-40,0,-40,2400000
655d7f1e0bc4ecf4b936e513,ExpWStdBHLN,D8460002,NIFTY23NOV2319200PE,-80,0,-80,2700000
655d7f240bc4ecf4b936e514,ExpiryWedBHLN,D8460005,NIFTY23NOV2319200PE,-10,0,-10,1400000
